

------------------------------ kernel_name: _Z9conv_colsPfPKfS1_iii ------------------------------
baseline_profiling #####
%251, mode: 1, baseline: 2035.969400, time: 2004.496000, offp: 1.545868, speedup: 1.015701
%255, mode: 0, baseline: 2035.969400, time: 2035.628000, offp: 0.016768, speedup: 1.000168
%255, mode: 1, baseline: 2035.969400, time: 2005.179000, offp: 1.512321, speedup: 1.015355
%261, mode: 0, baseline: 2035.969400, time: 2036.506000, offp: -0.026356, speedup: 0.999737
%261, mode: 1, baseline: 2035.969400, time: 2004.517000, offp: 1.544837, speedup: 1.015691
%267, mode: 0, baseline: 2035.969400, time: 2036.112000, offp: -0.007004, speedup: 0.999930
%267, mode: 1, baseline: 2035.969400, time: 2003.756000, offp: 1.582214, speedup: 1.016077
%273, mode: 0, baseline: 2035.969400, time: 2035.726000, offp: 0.011955, speedup: 1.000120
%273, mode: 1, baseline: 2035.969400, time: 2003.318000, offp: 1.603727, speedup: 1.016299
%279, mode: 0, baseline: 2035.969400, time: 2035.683000, offp: 0.014067, speedup: 1.000141
%279, mode: 1, baseline: 2035.969400, time: 2004.714000, offp: 1.535161, speedup: 1.015591
%285, mode: 0, baseline: 2035.969400, time: 2036.126000, offp: -0.007692, speedup: 0.999923
%285, mode: 1, baseline: 2035.969400, time: 2006.457000, offp: 1.449550, speedup: 1.014709
%291, mode: 0, baseline: 2035.969400, time: 2036.092000, offp: -0.006022, speedup: 0.999940
%291, mode: 1, baseline: 2035.969400, time: 2004.035000, offp: 1.568511, speedup: 1.015935
%297, mode: 0, baseline: 2035.969400, time: 2035.690000, offp: 0.013723, speedup: 1.000137
%297, mode: 1, baseline: 2035.969400, time: 2004.908000, offp: 1.525632, speedup: 1.015493
%306, mode: 0, baseline: 2035.969400, time: 2035.709000, offp: 0.012790, speedup: 1.000128
%306, mode: 1, baseline: 2035.969400, time: 1993.653000, offp: 2.078440, speedup: 1.021226
%312, mode: 0, baseline: 2035.969400, time: 2035.693000, offp: 0.013576, speedup: 1.000136
%312, mode: 1, baseline: 2035.969400, time: 1992.020000, offp: 2.158647, speedup: 1.022063
%318, mode: 0, baseline: 2035.969400, time: 2035.684000, offp: 0.014018, speedup: 1.000140
%318, mode: 1, baseline: 2035.969400, time: 1992.466000, offp: 2.136741, speedup: 1.021834
%324, mode: 0, baseline: 2035.969400, time: 2035.815000, offp: 0.007584, speedup: 1.000076
%324, mode: 1, baseline: 2035.969400, time: 1992.580000, offp: 2.131142, speedup: 1.021775
%330, mode: 0, baseline: 2035.969400, time: 2035.828000, offp: 0.006945, speedup: 1.000069
%330, mode: 1, baseline: 2035.969400, time: 1992.296000, offp: 2.145091, speedup: 1.021921
%336, mode: 0, baseline: 2035.969400, time: 2035.292000, offp: 0.033272, speedup: 1.000333
%336, mode: 1, baseline: 2035.969400, time: 1991.749000, offp: 2.171958, speedup: 1.022202
%342, mode: 0, baseline: 2035.969400, time: 2036.017000, offp: -0.002338, speedup: 0.999977
%342, mode: 1, baseline: 2035.969400, time: 1989.137000, offp: 2.300251, speedup: 1.023544
%348, mode: 0, baseline: 2035.969400, time: 2036.265000, offp: -0.014519, speedup: 0.999855
%348, mode: 1, baseline: 2035.969400, time: 1989.556000, offp: 2.279671, speedup: 1.023329
%354, mode: 0, baseline: 2035.969400, time: 2036.164000, offp: -0.009558, speedup: 0.999904
%354, mode: 1, baseline: 2035.969400, time: 1993.009000, offp: 2.110071, speedup: 1.021556
%358, mode: 0, baseline: 2035.969400, time: 2036.075000, offp: -0.005187, speedup: 0.999948
%358, mode: 1, baseline: 2035.969400, time: 1993.326000, offp: 2.094501, speedup: 1.021393
%364, mode: 0, baseline: 2035.969400, time: 2036.075000, offp: -0.005187, speedup: 0.999948
%364, mode: 1, baseline: 2035.969400, time: 1994.916000, offp: 2.016406, speedup: 1.020579
%370, mode: 0, baseline: 2035.969400, time: 2035.874000, offp: 0.004686, speedup: 1.000047
%370, mode: 1, baseline: 2035.969400, time: 1992.907000, offp: 2.115081, speedup: 1.021608
%376, mode: 0, baseline: 2035.969400, time: 2035.846000, offp: 0.006061, speedup: 1.000061
%376, mode: 1, baseline: 2035.969400, time: 1992.328000, offp: 2.143519, speedup: 1.021905
%382, mode: 0, baseline: 2035.969400, time: 2035.660000, offp: 0.015197, speedup: 1.000152
%382, mode: 1, baseline: 2035.969400, time: 1992.128000, offp: 2.153343, speedup: 1.022007
%388, mode: 0, baseline: 2035.969400, time: 2036.085000, offp: -0.005678, speedup: 0.999943
%388, mode: 1, baseline: 2035.969400, time: 1994.660000, offp: 2.028979, speedup: 1.020710
%394, mode: 0, baseline: 2035.969400, time: 2035.960000, offp: 0.000462, speedup: 1.000005
