

------------------------------ kernel_name: _Z9conv_rowsPfPKfS1_iii ------------------------------
baseline_profiling #####
%221, mode: 1, baseline: 494.455200, time: 493.400000, offp: 0.213407, speedup: 1.002139
%227, mode: 0, baseline: 494.455200, time: 494.843000, offp: -0.078430, speedup: 0.999216
%227, mode: 1, baseline: 494.455200, time: 493.183000, offp: 0.257293, speedup: 1.002580
%233, mode: 0, baseline: 494.455200, time: 494.379000, offp: 0.015411, speedup: 1.000154
%233, mode: 1, baseline: 494.455200, time: 493.338000, offp: 0.225946, speedup: 1.002265
%237, mode: 0, baseline: 494.455200, time: 494.598000, offp: -0.028880, speedup: 0.999711
%237, mode: 1, baseline: 494.455200, time: 493.199000, offp: 0.254057, speedup: 1.002547
%243, mode: 0, baseline: 494.455200, time: 494.598000, offp: -0.028880, speedup: 0.999711
%243, mode: 1, baseline: 494.455200, time: 493.209000, offp: 0.252035, speedup: 1.002527
%249, mode: 0, baseline: 494.455200, time: 494.849000, offp: -0.079643, speedup: 0.999204
%249, mode: 1, baseline: 494.455200, time: 493.472000, offp: 0.198845, speedup: 1.001992
%255, mode: 0, baseline: 494.455200, time: 494.777000, offp: -0.065082, speedup: 0.999350
%255, mode: 1, baseline: 494.455200, time: 493.379000, offp: 0.217654, speedup: 1.002181
%261, mode: 0, baseline: 494.455200, time: 494.645000, offp: -0.038386, speedup: 0.999616
%261, mode: 1, baseline: 494.455200, time: 493.215000, offp: 0.250822, speedup: 1.002515
%267, mode: 0, baseline: 494.455200, time: 494.827000, offp: -0.075194, speedup: 0.999249
%267, mode: 1, baseline: 494.455200, time: 493.143000, offp: 0.265383, speedup: 1.002661
%273, mode: 0, baseline: 494.455200, time: 494.703000, offp: -0.050116, speedup: 0.999499
%273, mode: 1, baseline: 494.455200, time: 493.035000, offp: 0.287225, speedup: 1.002881
%279, mode: 0, baseline: 494.455200, time: 494.600000, offp: -0.029285, speedup: 0.999707
%279, mode: 1, baseline: 494.455200, time: 493.073000, offp: 0.279540, speedup: 1.002803
%286, mode: 0, baseline: 494.455200, time: 494.227000, offp: 0.046152, speedup: 1.000462
%286, mode: 1, baseline: 494.455200, time: 492.447000, offp: 0.406144, speedup: 1.004078
