

------------------------------ kernel_name: _Z9conv_rowsPfPKfS1_iii ------------------------------
baseline_profiling #####
%237, mode: 0, baseline: 494.136400, time: 494.393000, offp: -0.051929, speedup: 0.999481
%237, mode: 1, baseline: 494.136400, time: 493.089000, offp: 0.211966, speedup: 1.002124
%243, mode: 0, baseline: 494.136400, time: 494.408000, offp: -0.054965, speedup: 0.999451
%243, mode: 1, baseline: 494.136400, time: 492.963000, offp: 0.237465, speedup: 1.002380
%249, mode: 0, baseline: 494.136400, time: 494.522000, offp: -0.078035, speedup: 0.999220
%249, mode: 1, baseline: 494.136400, time: 492.846000, offp: 0.261142, speedup: 1.002618
%255, mode: 0, baseline: 494.136400, time: 494.354000, offp: -0.044036, speedup: 0.999560
%255, mode: 1, baseline: 494.136400, time: 492.698000, offp: 0.291094, speedup: 1.002919
%261, mode: 0, baseline: 494.136400, time: 494.264000, offp: -0.025823, speedup: 0.999742
%261, mode: 1, baseline: 494.136400, time: 492.840000, offp: 0.262357, speedup: 1.002630
%267, mode: 0, baseline: 494.136400, time: 494.078000, offp: 0.011819, speedup: 1.000118
%267, mode: 1, baseline: 494.136400, time: 492.938000, offp: 0.242524, speedup: 1.002431
%273, mode: 0, baseline: 494.136400, time: 494.368000, offp: -0.046870, speedup: 0.999532
%273, mode: 1, baseline: 494.136400, time: 492.948000, offp: 0.240500, speedup: 1.002411
%279, mode: 0, baseline: 494.136400, time: 494.182000, offp: -0.009228, speedup: 0.999908
%279, mode: 1, baseline: 494.136400, time: 492.741000, offp: 0.282392, speedup: 1.002832
%286, mode: 0, baseline: 494.136400, time: 494.247000, offp: -0.022382, speedup: 0.999776
%286, mode: 1, baseline: 494.136400, time: 491.997000, offp: 0.432957, speedup: 1.004348
%292, mode: 0, baseline: 494.136400, time: 494.130000, offp: 0.001295, speedup: 1.000013
%292, mode: 1, baseline: 494.136400, time: 492.112000, offp: 0.409684, speedup: 1.004114
%298, mode: 0, baseline: 494.136400, time: 494.156000, offp: -0.003967, speedup: 0.999960
%298, mode: 1, baseline: 494.136400, time: 492.235000, offp: 0.384793, speedup: 1.003863
%304, mode: 0, baseline: 494.136400, time: 494.632000, offp: -0.100296, speedup: 0.998998
%304, mode: 1, baseline: 494.136400, time: 492.109000, offp: 0.410292, speedup: 1.004120
%310, mode: 0, baseline: 494.136400, time: 494.260000, offp: -0.025013, speedup: 0.999750
%310, mode: 1, baseline: 494.136400, time: 492.218000, offp: 0.388233, speedup: 1.003897
%316, mode: 0, baseline: 494.136400, time: 494.098000, offp: 0.007771, speedup: 1.000078
%316, mode: 1, baseline: 494.136400, time: 492.480000, offp: 0.335211, speedup: 1.003363
%322, mode: 0, baseline: 494.136400, time: 494.256000, offp: -0.024204, speedup: 0.999758
%322, mode: 1, baseline: 494.136400, time: 492.269000, offp: 0.377912, speedup: 1.003793
%328, mode: 0, baseline: 494.136400, time: 494.604000, offp: -0.094630, speedup: 0.999055
%328, mode: 1, baseline: 494.136400, time: 492.157000, offp: 0.400578, speedup: 1.004022
%334, mode: 0, baseline: 494.136400, time: 494.355000, offp: -0.044239, speedup: 0.999558
%334, mode: 1, baseline: 494.136400, time: 492.355000, offp: 0.360508, speedup: 1.003618
%338, mode: 0, baseline: 494.136400, time: 494.097000, offp: 0.007974, speedup: 1.000080
%338, mode: 1, baseline: 494.136400, time: 492.400000, offp: 0.351401, speedup: 1.003526
%344, mode: 0, baseline: 494.136400, time: 494.011000, offp: 0.025378, speedup: 1.000254
%344, mode: 1, baseline: 494.136400, time: 492.386000, offp: 0.354234, speedup: 1.003555
%350, mode: 0, baseline: 494.136400, time: 494.111000, offp: 0.005140, speedup: 1.000051
%350, mode: 1, baseline: 494.136400, time: 492.411000, offp: 0.349175, speedup: 1.003504
%356, mode: 0, baseline: 494.136400, time: 494.265000, offp: -0.026025, speedup: 0.999740
%356, mode: 1, baseline: 494.136400, time: 492.353000, offp: 0.360912, speedup: 1.003622
%362, mode: 0, baseline: 494.136400, time: 494.244000, offp: -0.021775, speedup: 0.999782
%362, mode: 1, baseline: 494.136400, time: 492.074000, offp: 0.417375, speedup: 1.004191
%368, mode: 0, baseline: 494.136400, time: 494.065000, offp: 0.014449, speedup: 1.000145
%368, mode: 1, baseline: 494.136400, time: 492.298000, offp: 0.372043, speedup: 1.003734
%374, mode: 0, baseline: 494.136400, time: 494.252000, offp: -0.023394, speedup: 0.999766
%374, mode: 1, baseline: 494.136400, time: 492.420000, offp: 0.347353, speedup: 1.003486
%380, mode: 0, baseline: 494.136400, time: 494.170000, offp: -0.006800, speedup: 0.999932
%380, mode: 1, baseline: 494.136400, time: 492.109000, offp: 0.410292, speedup: 1.004120
%387, mode: 0, baseline: 494.136400, time: 494.212000, offp: -0.015299, speedup: 0.999847
%387, mode: 1, baseline: 494.136400, time: 491.970000, offp: 0.438421, speedup: 1.004404
%393, mode: 0, baseline: 494.136400, time: 494.213000, offp: -0.015502, speedup: 0.999845
%393, mode: 1, baseline: 494.136400, time: 491.736000, offp: 0.485777, speedup: 1.004881
%399, mode: 0, baseline: 494.136400, time: 494.354000, offp: -0.044036, speedup: 0.999560
%399, mode: 1, baseline: 494.136400, time: 491.557000, offp: 0.522002, speedup: 1.005247
%405, mode: 0, baseline: 494.136400, time: 494.295000, offp: -0.032096, speedup: 0.999679
%405, mode: 1, baseline: 494.136400, time: 491.610000, offp: 0.511276, speedup: 1.005139
%411, mode: 0, baseline: 494.136400, time: 494.008000, offp: 0.025985, speedup: 1.000260
%411, mode: 1, baseline: 494.136400, time: 492.094000, offp: 0.413327, speedup: 1.004150
%417, mode: 0, baseline: 494.136400, time: 494.284000, offp: -0.029870, speedup: 0.999701
%417, mode: 1, baseline: 494.136400, time: 491.972000, offp: 0.438017, speedup: 1.004399
%423, mode: 0, baseline: 494.136400, time: 494.386000, offp: -0.050512, speedup: 0.999495
%423, mode: 1, baseline: 494.136400, time: 491.968000, offp: 0.438826, speedup: 1.004408
%429, mode: 0, baseline: 494.136400, time: 494.175000, offp: -0.007812, speedup: 0.999922
%429, mode: 1, baseline: 494.136400, time: 491.883000, offp: 0.456028, speedup: 1.004581
%435, mode: 0, baseline: 494.136400, time: 494.255000, offp: -0.024001, speedup: 0.999760
%435, mode: 1, baseline: 494.136400, time: 491.913000, offp: 0.449957, speedup: 1.004520
%439, mode: 0, baseline: 494.136400, time: 494.002000, offp: 0.027199, speedup: 1.000272
%439, mode: 1, baseline: 494.136400, time: 491.875000, offp: 0.457647, speedup: 1.004598
%445, mode: 0, baseline: 494.136400, time: 494.245000, offp: -0.021978, speedup: 0.999780
%445, mode: 1, baseline: 494.136400, time: 491.903000, offp: 0.451980, speedup: 1.004540
%451, mode: 0, baseline: 494.136400, time: 494.374000, offp: -0.048084, speedup: 0.999519
%451, mode: 1, baseline: 494.136400, time: 491.823000, offp: 0.468170, speedup: 1.004704
%457, mode: 0, baseline: 494.136400, time: 494.700000, offp: -0.114058, speedup: 0.998861
%457, mode: 1, baseline: 494.136400, time: 492.021000, offp: 0.428100, speedup: 1.004299
%463, mode: 0, baseline: 494.136400, time: 494.313000, offp: -0.035739, speedup: 0.999643
%463, mode: 1, baseline: 494.136400, time: 492.217000, offp: 0.388435, speedup: 1.003899
%469, mode: 0, baseline: 494.136400, time: 494.497000, offp: -0.072976, speedup: 0.999271
%469, mode: 1, baseline: 494.136400, time: 491.912000, offp: 0.450159, speedup: 1.004522
