

------------------------------ kernel_name: _Z9conv_colsPfPKfS1_iii ------------------------------
baseline_profiling #####
%245, mode: 0, baseline: 2036.640000, time: 2040.805000, offp: -0.204503, speedup: 0.997959
%245, mode: 1, baseline: 2036.640000, time: 2008.488000, offp: 1.382277, speedup: 1.014017
%251, mode: 0, baseline: 2036.640000, time: 2041.078000, offp: -0.217908, speedup: 0.997826
%251, mode: 1, baseline: 2036.640000, time: 2009.793000, offp: 1.318201, speedup: 1.013358
%255, mode: 0, baseline: 2036.640000, time: 2041.686000, offp: -0.247761, speedup: 0.997529
%255, mode: 1, baseline: 2036.640000, time: 2009.227000, offp: 1.345991, speedup: 1.013644
%261, mode: 0, baseline: 2036.640000, time: 2040.934000, offp: -0.210837, speedup: 0.997896
%261, mode: 1, baseline: 2036.640000, time: 2009.379000, offp: 1.338528, speedup: 1.013567
%267, mode: 0, baseline: 2036.640000, time: 2041.008000, offp: -0.214471, speedup: 0.997860
%267, mode: 1, baseline: 2036.640000, time: 2008.718000, offp: 1.370984, speedup: 1.013900
%273, mode: 0, baseline: 2036.640000, time: 2040.943000, offp: -0.211279, speedup: 0.997892
%273, mode: 1, baseline: 2036.640000, time: 2008.594000, offp: 1.377072, speedup: 1.013963
%279, mode: 0, baseline: 2036.640000, time: 2041.663000, offp: -0.246632, speedup: 0.997540
%279, mode: 1, baseline: 2036.640000, time: 2014.432000, offp: 1.090423, speedup: 1.011024
%285, mode: 0, baseline: 2036.640000, time: 2041.476000, offp: -0.237450, speedup: 0.997631
%285, mode: 1, baseline: 2036.640000, time: 2009.327000, offp: 1.341081, speedup: 1.013593
%291, mode: 0, baseline: 2036.640000, time: 2041.404000, offp: -0.233915, speedup: 0.997666
%291, mode: 1, baseline: 2036.640000, time: 2010.513000, offp: 1.282848, speedup: 1.012995
%297, mode: 0, baseline: 2036.640000, time: 2041.470000, offp: -0.237155, speedup: 0.997634
%297, mode: 1, baseline: 2036.640000, time: 2010.557000, offp: 1.280688, speedup: 1.012973
%306, mode: 0, baseline: 2036.640000, time: 2040.866000, offp: -0.207499, speedup: 0.997929
%306, mode: 1, baseline: 2036.640000, time: 1999.289000, offp: 1.833952, speedup: 1.018682
%312, mode: 0, baseline: 2036.640000, time: 2045.310000, offp: -0.425701, speedup: 0.995761
%312, mode: 1, baseline: 2036.640000, time: 1999.523000, offp: 1.822462, speedup: 1.018563
%318, mode: 0, baseline: 2036.640000, time: 2041.540000, offp: -0.240592, speedup: 0.997600
%318, mode: 1, baseline: 2036.640000, time: 1998.577000, offp: 1.868912, speedup: 1.019045
%324, mode: 0, baseline: 2036.640000, time: 2040.896000, offp: -0.208972, speedup: 0.997915
%324, mode: 1, baseline: 2036.640000, time: 1998.458000, offp: 1.874754, speedup: 1.019106
%330, mode: 0, baseline: 2036.640000, time: 2041.014000, offp: -0.214765, speedup: 0.997857
%330, mode: 1, baseline: 2036.640000, time: 1998.320000, offp: 1.881530, speedup: 1.019176
%336, mode: 0, baseline: 2036.640000, time: 2041.613000, offp: -0.244177, speedup: 0.997564
%336, mode: 1, baseline: 2036.640000, time: 1999.467000, offp: 1.825212, speedup: 1.018591
%342, mode: 0, baseline: 2036.640000, time: 2041.193000, offp: -0.223554, speedup: 0.997769
%342, mode: 1, baseline: 2036.640000, time: 1994.909000, offp: 2.049012, speedup: 1.020919
%348, mode: 0, baseline: 2036.640000, time: 2040.939000, offp: -0.211083, speedup: 0.997894
%348, mode: 1, baseline: 2036.640000, time: 1994.000000, offp: 2.093644, speedup: 1.021384
%354, mode: 0, baseline: 2036.640000, time: 2045.261000, offp: -0.423295, speedup: 0.995785
%354, mode: 1, baseline: 2036.640000, time: 1999.144000, offp: 1.841072, speedup: 1.018756
%358, mode: 0, baseline: 2036.640000, time: 2041.367000, offp: -0.232098, speedup: 0.997684
%358, mode: 1, baseline: 2036.640000, time: 2000.139000, offp: 1.792217, speedup: 1.018249
%364, mode: 0, baseline: 2036.640000, time: 2044.649000, offp: -0.393246, speedup: 0.996083
%364, mode: 1, baseline: 2036.640000, time: 2000.519000, offp: 1.773558, speedup: 1.018056
%370, mode: 0, baseline: 2036.640000, time: 2044.902000, offp: -0.405668, speedup: 0.995960
%370, mode: 1, baseline: 2036.640000, time: 2001.732000, offp: 1.714000, speedup: 1.017439
%376, mode: 0, baseline: 2036.640000, time: 2041.239000, offp: -0.225813, speedup: 0.997747
%376, mode: 1, baseline: 2036.640000, time: 1998.461000, offp: 1.874607, speedup: 1.019104
%382, mode: 0, baseline: 2036.640000, time: 2041.206000, offp: -0.224193, speedup: 0.997763
%382, mode: 1, baseline: 2036.640000, time: 1998.956000, offp: 1.850302, speedup: 1.018852
%388, mode: 0, baseline: 2036.640000, time: 2040.362000, offp: -0.182752, speedup: 0.998176
%388, mode: 1, baseline: 2036.640000, time: 1997.816000, offp: 1.906277, speedup: 1.019433
%394, mode: 0, baseline: 2036.640000, time: 2044.762000, offp: -0.398794, speedup: 0.996028
%394, mode: 1, baseline: 2036.640000, time: 1998.117000, offp: 1.891498, speedup: 1.019280
%400, mode: 0, baseline: 2036.640000, time: 2040.834000, offp: -0.205927, speedup: 0.997945
%400, mode: 1, baseline: 2036.640000, time: 2000.208000, offp: 1.788829, speedup: 1.018214
%409, mode: 0, baseline: 2036.640000, time: 2041.088000, offp: -0.218399, speedup: 0.997821
%409, mode: 1, baseline: 2036.640000, time: 1989.124000, offp: 2.333058, speedup: 1.023888
%415, mode: 0, baseline: 2036.640000, time: 2040.922000, offp: -0.210248, speedup: 0.997902
%415, mode: 1, baseline: 2036.640000, time: 1985.757000, offp: 2.498380, speedup: 1.025624
%421, mode: 0, baseline: 2036.640000, time: 2041.437000, offp: -0.235535, speedup: 0.997650
%421, mode: 1, baseline: 2036.640000, time: 1987.650000, offp: 2.405432, speedup: 1.024647
%427, mode: 0, baseline: 2036.640000, time: 2044.804000, offp: -0.400856, speedup: 0.996007
%427, mode: 1, baseline: 2036.640000, time: 1988.107000, offp: 2.382994, speedup: 1.024412
%433, mode: 0, baseline: 2036.640000, time: 2040.807000, offp: -0.204602, speedup: 0.997958
%433, mode: 1, baseline: 2036.640000, time: 1985.269000, offp: 2.522341, speedup: 1.025876
%439, mode: 0, baseline: 2036.640000, time: 2041.570000, offp: -0.242065, speedup: 0.997585
%439, mode: 1, baseline: 2036.640000, time: 1984.584000, offp: 2.555975, speedup: 1.026230
%445, mode: 0, baseline: 2036.640000, time: 2041.394000, offp: -0.233424, speedup: 0.997671
%445, mode: 1, baseline: 2036.640000, time: 1983.564000, offp: 2.606057, speedup: 1.026758
%451, mode: 0, baseline: 2036.640000, time: 2041.000000, offp: -0.214078, speedup: 0.997864
%451, mode: 1, baseline: 2036.640000, time: 1984.284000, offp: 2.570705, speedup: 1.026385
%457, mode: 0, baseline: 2036.640000, time: 2040.905000, offp: -0.209414, speedup: 0.997910
%457, mode: 1, baseline: 2036.640000, time: 1983.670000, offp: 2.600852, speedup: 1.026703
%461, mode: 0, baseline: 2036.640000, time: 2040.756000, offp: -0.202098, speedup: 0.997983
%461, mode: 1, baseline: 2036.640000, time: 1994.980000, offp: 2.045526, speedup: 1.020882
%467, mode: 0, baseline: 2036.640000, time: 2040.710000, offp: -0.199839, speedup: 0.998006
%467, mode: 1, baseline: 2036.640000, time: 1987.141000, offp: 2.430425, speedup: 1.024910
%473, mode: 0, baseline: 2036.640000, time: 2041.073000, offp: -0.217662, speedup: 0.997828
%473, mode: 1, baseline: 2036.640000, time: 1987.679000, offp: 2.404009, speedup: 1.024632
%479, mode: 0, baseline: 2036.640000, time: 2045.183000, offp: -0.419465, speedup: 0.995823
%479, mode: 1, baseline: 2036.640000, time: 1986.159000, offp: 2.478641, speedup: 1.025416
%485, mode: 0, baseline: 2036.640000, time: 2041.478000, offp: -0.237548, speedup: 0.997630
%485, mode: 1, baseline: 2036.640000, time: 1988.655000, offp: 2.356086, speedup: 1.024129
%491, mode: 0, baseline: 2036.640000, time: 2040.906000, offp: -0.209463, speedup: 0.997910
%491, mode: 1, baseline: 2036.640000, time: 1995.740000, offp: 2.008210, speedup: 1.020494
%497, mode: 0, baseline: 2036.640000, time: 2040.677000, offp: -0.198219, speedup: 0.998022
%497, mode: 1, baseline: 2036.640000, time: 1988.952000, offp: 2.341504, speedup: 1.023976
%503, mode: 0, baseline: 2036.640000, time: 2041.591000, offp: -0.243096, speedup: 0.997575
%503, mode: 1, baseline: 2036.640000, time: 1987.660000, offp: 2.404941, speedup: 1.024642
%512, mode: 0, baseline: 2036.640000, time: 2040.917000, offp: -0.210003, speedup: 0.997904
%512, mode: 1, baseline: 2036.640000, time: 1970.167000, offp: 3.263856, speedup: 1.033740
%518, mode: 0, baseline: 2036.640000, time: 2040.391000, offp: -0.184176, speedup: 0.998162
%518, mode: 1, baseline: 2036.640000, time: 1964.556000, offp: 3.539359, speedup: 1.036692
%524, mode: 0, baseline: 2036.640000, time: 2041.280000, offp: -0.227826, speedup: 0.997727
%524, mode: 1, baseline: 2036.640000, time: 1967.462000, offp: 3.396673, speedup: 1.035161
%530, mode: 0, baseline: 2036.640000, time: 2041.276000, offp: -0.227630, speedup: 0.997729
%530, mode: 1, baseline: 2036.640000, time: 1966.032000, offp: 3.466887, speedup: 1.035914
%536, mode: 0, baseline: 2036.640000, time: 2041.170000, offp: -0.222425, speedup: 0.997781
%536, mode: 1, baseline: 2036.640000, time: 1962.822000, offp: 3.624499, speedup: 1.037608
%542, mode: 0, baseline: 2036.640000, time: 2040.632000, offp: -0.196009, speedup: 0.998044
%542, mode: 1, baseline: 2036.640000, time: 1965.354000, offp: 3.500177, speedup: 1.036271
%548, mode: 0, baseline: 2036.640000, time: 2040.600000, offp: -0.194438, speedup: 0.998059
%548, mode: 1, baseline: 2036.640000, time: 1963.152000, offp: 3.608296, speedup: 1.037434
%554, mode: 0, baseline: 2036.640000, time: 2041.094000, offp: -0.218694, speedup: 0.997818
%554, mode: 1, baseline: 2036.640000, time: 1974.950000, offp: 3.029009, speedup: 1.031236
%560, mode: 0, baseline: 2036.640000, time: 2041.036000, offp: -0.215846, speedup: 0.997846
%560, mode: 1, baseline: 2036.640000, time: 1970.277000, offp: 3.258455, speedup: 1.033682
%564, mode: 0, baseline: 2036.640000, time: 2041.098000, offp: -0.218890, speedup: 0.997816
%564, mode: 1, baseline: 2036.640000, time: 1965.245000, offp: 3.505529, speedup: 1.036329
%570, mode: 0, baseline: 2036.640000, time: 2041.024000, offp: -0.215257, speedup: 0.997852
%570, mode: 1, baseline: 2036.640000, time: 1971.780000, offp: 3.184657, speedup: 1.032894
%576, mode: 0, baseline: 2036.640000, time: 2044.328000, offp: -0.377484, speedup: 0.996239
%576, mode: 1, baseline: 2036.640000, time: 1962.021000, offp: 3.663829, speedup: 1.038032
%582, mode: 0, baseline: 2036.640000, time: 2041.429000, offp: -0.235142, speedup: 0.997654
%582, mode: 1, baseline: 2036.640000, time: 1968.219000, offp: 3.359504, speedup: 1.034763
%588, mode: 0, baseline: 2036.640000, time: 2044.721000, offp: -0.396781, speedup: 0.996048
%588, mode: 1, baseline: 2036.640000, time: 1968.303000, offp: 3.355379, speedup: 1.034719
%594, mode: 0, baseline: 2036.640000, time: 2040.915000, offp: -0.209905, speedup: 0.997905
%594, mode: 1, baseline: 2036.640000, time: 1965.476000, offp: 3.494187, speedup: 1.036207
%600, mode: 0, baseline: 2036.640000, time: 2041.443000, offp: -0.235830, speedup: 0.997647
%600, mode: 1, baseline: 2036.640000, time: 1963.085000, offp: 3.611586, speedup: 1.037469
%606, mode: 0, baseline: 2036.640000, time: 2044.561000, offp: -0.388925, speedup: 0.996126
%606, mode: 1, baseline: 2036.640000, time: 1965.008000, offp: 3.517166, speedup: 1.036454
%615, mode: 0, baseline: 2036.640000, time: 2041.169000, offp: -0.222376, speedup: 0.997781
%615, mode: 1, baseline: 2036.640000, time: 1933.699000, offp: 5.054452, speedup: 1.053235
%621, mode: 0, baseline: 2036.640000, time: 2041.103000, offp: -0.219135, speedup: 0.997813
%621, mode: 1, baseline: 2036.640000, time: 1928.794000, offp: 5.295290, speedup: 1.055914
%627, mode: 0, baseline: 2036.640000, time: 2041.315000, offp: -0.229545, speedup: 0.997710
%627, mode: 1, baseline: 2036.640000, time: 1927.379000, offp: 5.364767, speedup: 1.056689
%633, mode: 0, baseline: 2036.640000, time: 2041.135000, offp: -0.220707, speedup: 0.997798
%633, mode: 1, baseline: 2036.640000, time: 1925.028000, offp: 5.480203, speedup: 1.057979
%639, mode: 0, baseline: 2036.640000, time: 2041.192000, offp: -0.223505, speedup: 0.997770
%639, mode: 1, baseline: 2036.640000, time: 1925.256000, offp: 5.469008, speedup: 1.057854
%645, mode: 0, baseline: 2036.640000, time: 2041.285000, offp: -0.228072, speedup: 0.997724
%645, mode: 1, baseline: 2036.640000, time: 1926.190000, offp: 5.423148, speedup: 1.057341
%651, mode: 0, baseline: 2036.640000, time: 2041.178000, offp: -0.222818, speedup: 0.997777
%651, mode: 1, baseline: 2036.640000, time: 1930.492000, offp: 5.211918, speedup: 1.054985
%657, mode: 0, baseline: 2036.640000, time: 2041.259000, offp: -0.226795, speedup: 0.997737
%657, mode: 1, baseline: 2036.640000, time: 1918.083000, offp: 5.821206, speedup: 1.061810
%663, mode: 0, baseline: 2036.640000, time: 2045.284000, offp: -0.424425, speedup: 0.995774
%663, mode: 1, baseline: 2036.640000, time: 1929.348000, offp: 5.268089, speedup: 1.055610
%667, mode: 0, baseline: 2036.640000, time: 2041.120000, offp: -0.219970, speedup: 0.997805
%667, mode: 1, baseline: 2036.640000, time: 1935.393000, offp: 4.971276, speedup: 1.052313
%673, mode: 0, baseline: 2036.640000, time: 2040.659000, offp: -0.197335, speedup: 0.998031
