

------------------------------ kernel_name: _Z9conv_colsPfPKfS1_iii ------------------------------
baseline_profiling #####
%394, mode: 0, baseline: 2036.793400, time: 2036.690000, offp: 0.005077, speedup: 1.000051
%394, mode: 1, baseline: 2036.793400, time: 1993.411000, offp: 2.129936, speedup: 1.021763
%400, mode: 0, baseline: 2036.793400, time: 2036.168000, offp: 0.030705, speedup: 1.000307
%400, mode: 1, baseline: 2036.793400, time: 1996.751000, offp: 1.965953, speedup: 1.020054
%409, mode: 0, baseline: 2036.793400, time: 2036.586000, offp: 0.010183, speedup: 1.000102
%409, mode: 1, baseline: 2036.793400, time: 1982.014000, offp: 2.689492, speedup: 1.027638
%415, mode: 0, baseline: 2036.793400, time: 2036.272000, offp: 0.025599, speedup: 1.000256
%415, mode: 1, baseline: 2036.793400, time: 1984.537000, offp: 2.565621, speedup: 1.026332
%421, mode: 0, baseline: 2036.793400, time: 2036.573000, offp: 0.010821, speedup: 1.000108
%421, mode: 1, baseline: 2036.793400, time: 1982.161000, offp: 2.682275, speedup: 1.027562
%427, mode: 0, baseline: 2036.793400, time: 2035.701000, offp: 0.053633, speedup: 1.000537
%427, mode: 1, baseline: 2036.793400, time: 1983.542000, offp: 2.614472, speedup: 1.026847
%433, mode: 0, baseline: 2036.793400, time: 2036.790000, offp: 0.000167, speedup: 1.000002
%433, mode: 1, baseline: 2036.793400, time: 1983.010000, offp: 2.640592, speedup: 1.027122
%439, mode: 0, baseline: 2036.793400, time: 2036.517000, offp: 0.013570, speedup: 1.000136
%439, mode: 1, baseline: 2036.793400, time: 1983.880000, offp: 2.597878, speedup: 1.026672
%445, mode: 0, baseline: 2036.793400, time: 2036.400000, offp: 0.019315, speedup: 1.000193
%445, mode: 1, baseline: 2036.793400, time: 1978.634000, offp: 2.855439, speedup: 1.029394
%451, mode: 0, baseline: 2036.793400, time: 2036.051000, offp: 0.036449, speedup: 1.000365
%451, mode: 1, baseline: 2036.793400, time: 1980.509000, offp: 2.763383, speedup: 1.028419
%457, mode: 0, baseline: 2036.793400, time: 2036.707000, offp: 0.004242, speedup: 1.000042
%457, mode: 1, baseline: 2036.793400, time: 1979.445000, offp: 2.815622, speedup: 1.028972
%461, mode: 0, baseline: 2036.793400, time: 2036.374000, offp: 0.020591, speedup: 1.000206
%461, mode: 1, baseline: 2036.793400, time: 1982.661000, offp: 2.657727, speedup: 1.027303
%467, mode: 0, baseline: 2036.793400, time: 2036.563000, offp: 0.011312, speedup: 1.000113
%467, mode: 1, baseline: 2036.793400, time: 1982.480000, offp: 2.666613, speedup: 1.027397
%473, mode: 0, baseline: 2036.793400, time: 2036.525000, offp: 0.013178, speedup: 1.000132
%473, mode: 1, baseline: 2036.793400, time: 1978.486000, offp: 2.862706, speedup: 1.029471
%479, mode: 0, baseline: 2036.793400, time: 2036.418000, offp: 0.018431, speedup: 1.000184
%479, mode: 1, baseline: 2036.793400, time: 1981.199000, offp: 2.729506, speedup: 1.028061
%485, mode: 0, baseline: 2036.793400, time: 2035.966000, offp: 0.040623, speedup: 1.000406
%485, mode: 1, baseline: 2036.793400, time: 1983.211000, offp: 2.630723, speedup: 1.027018
%491, mode: 0, baseline: 2036.793400, time: 2036.661000, offp: 0.006500, speedup: 1.000065
%491, mode: 1, baseline: 2036.793400, time: 1981.478000, offp: 2.715808, speedup: 1.027916
%497, mode: 0, baseline: 2036.793400, time: 2036.484000, offp: 0.015191, speedup: 1.000152
%497, mode: 1, baseline: 2036.793400, time: 1982.832000, offp: 2.649331, speedup: 1.027214
%503, mode: 0, baseline: 2036.793400, time: 2036.393000, offp: 0.019658, speedup: 1.000197
