

------------------------------ kernel_name: _Z9conv_rowsPfPKfS1_iii ------------------------------
baseline_profiling #####
%310, mode: 0, baseline: 494.363800, time: 494.472000, offp: -0.021887, speedup: 0.999781
%310, mode: 1, baseline: 494.363800, time: 492.099000, offp: 0.458124, speedup: 1.004602
%316, mode: 0, baseline: 494.363800, time: 494.356000, offp: 0.001578, speedup: 1.000016
%316, mode: 1, baseline: 494.363800, time: 492.055000, offp: 0.467024, speedup: 1.004692
%322, mode: 0, baseline: 494.363800, time: 494.554000, offp: -0.038474, speedup: 0.999615
%322, mode: 1, baseline: 494.363800, time: 492.331000, offp: 0.411195, speedup: 1.004129
%328, mode: 0, baseline: 494.363800, time: 494.506000, offp: -0.028764, speedup: 0.999712
%328, mode: 1, baseline: 494.363800, time: 492.264000, offp: 0.424748, speedup: 1.004266
%334, mode: 0, baseline: 494.363800, time: 493.924000, offp: 0.088963, speedup: 1.000890
%334, mode: 1, baseline: 494.363800, time: 492.252000, offp: 0.427175, speedup: 1.004290
%338, mode: 0, baseline: 494.363800, time: 494.265000, offp: 0.019985, speedup: 1.000200
%338, mode: 1, baseline: 494.363800, time: 492.232000, offp: 0.431221, speedup: 1.004331
%344, mode: 0, baseline: 494.363800, time: 494.412000, offp: -0.009750, speedup: 0.999903
%344, mode: 1, baseline: 494.363800, time: 492.346000, offp: 0.408161, speedup: 1.004098
%350, mode: 0, baseline: 494.363800, time: 494.485000, offp: -0.024516, speedup: 0.999755
%350, mode: 1, baseline: 494.363800, time: 492.384000, offp: 0.400474, speedup: 1.004021
%356, mode: 0, baseline: 494.363800, time: 494.488000, offp: -0.025123, speedup: 0.999749
%356, mode: 1, baseline: 494.363800, time: 492.247000, offp: 0.428187, speedup: 1.004300
%362, mode: 0, baseline: 494.363800, time: 494.273000, offp: 0.018367, speedup: 1.000184
%362, mode: 1, baseline: 494.363800, time: 492.182000, offp: 0.441335, speedup: 1.004433
%368, mode: 0, baseline: 494.363800, time: 494.254000, offp: 0.022210, speedup: 1.000222
%368, mode: 1, baseline: 494.363800, time: 492.372000, offp: 0.402902, speedup: 1.004045
%374, mode: 0, baseline: 494.363800, time: 494.430000, offp: -0.013391, speedup: 0.999866
%374, mode: 1, baseline: 494.363800, time: 492.178000, offp: 0.442144, speedup: 1.004441
%380, mode: 0, baseline: 494.363800, time: 494.304000, offp: 0.012096, speedup: 1.000121
%380, mode: 1, baseline: 494.363800, time: 492.372000, offp: 0.402902, speedup: 1.004045
%387, mode: 0, baseline: 494.363800, time: 494.110000, offp: 0.051339, speedup: 1.000514
%387, mode: 1, baseline: 494.363800, time: 491.887000, offp: 0.501008, speedup: 1.005035
%393, mode: 0, baseline: 494.363800, time: 494.395000, offp: -0.006311, speedup: 0.999937
%393, mode: 1, baseline: 494.363800, time: 491.554000, offp: 0.568367, speedup: 1.005716
%399, mode: 0, baseline: 494.363800, time: 494.412000, offp: -0.009750, speedup: 0.999903
%399, mode: 1, baseline: 494.363800, time: 491.540000, offp: 0.571199, speedup: 1.005745
%405, mode: 0, baseline: 494.363800, time: 494.159000, offp: 0.041427, speedup: 1.000414
%405, mode: 1, baseline: 494.363800, time: 491.699000, offp: 0.539036, speedup: 1.005420
%411, mode: 0, baseline: 494.363800, time: 494.276000, offp: 0.017760, speedup: 1.000178
%411, mode: 1, baseline: 494.363800, time: 492.074000, offp: 0.463181, speedup: 1.004653
%417, mode: 0, baseline: 494.363800, time: 494.034000, offp: 0.066712, speedup: 1.000668
%417, mode: 1, baseline: 494.363800, time: 491.906000, offp: 0.497164, speedup: 1.004996
%423, mode: 0, baseline: 494.363800, time: 494.095000, offp: 0.054373, speedup: 1.000544
%423, mode: 1, baseline: 494.363800, time: 491.591000, offp: 0.560882, speedup: 1.005640
%429, mode: 0, baseline: 494.363800, time: 494.234000, offp: 0.026256, speedup: 1.000263
%429, mode: 1, baseline: 494.363800, time: 491.717000, offp: 0.535395, speedup: 1.005383
%435, mode: 0, baseline: 494.363800, time: 494.432000, offp: -0.013796, speedup: 0.999862
%435, mode: 1, baseline: 494.363800, time: 491.765000, offp: 0.525686, speedup: 1.005285
%439, mode: 0, baseline: 494.363800, time: 494.342000, offp: 0.004410, speedup: 1.000044
%439, mode: 1, baseline: 494.363800, time: 492.076000, offp: 0.462777, speedup: 1.004649
%445, mode: 0, baseline: 494.363800, time: 494.481000, offp: -0.023707, speedup: 0.999763
%445, mode: 1, baseline: 494.363800, time: 491.966000, offp: 0.485027, speedup: 1.004874
%451, mode: 0, baseline: 494.363800, time: 494.060000, offp: 0.061453, speedup: 1.000615
%451, mode: 1, baseline: 494.363800, time: 491.878000, offp: 0.502828, speedup: 1.005054
%457, mode: 0, baseline: 494.363800, time: 494.399000, offp: -0.007120, speedup: 0.999929
%457, mode: 1, baseline: 494.363800, time: 491.746000, offp: 0.529529, speedup: 1.005323
%463, mode: 0, baseline: 494.363800, time: 494.467000, offp: -0.020875, speedup: 0.999791
%463, mode: 1, baseline: 494.363800, time: 491.880000, offp: 0.502424, speedup: 1.005050
%469, mode: 0, baseline: 494.363800, time: 494.483000, offp: -0.024112, speedup: 0.999759
%469, mode: 1, baseline: 494.363800, time: 491.756000, offp: 0.527506, speedup: 1.005303
%475, mode: 0, baseline: 494.363800, time: 494.325000, offp: 0.007848, speedup: 1.000078
%475, mode: 1, baseline: 494.363800, time: 491.886000, offp: 0.501210, speedup: 1.005037
%481, mode: 0, baseline: 494.363800, time: 494.347000, offp: 0.003398, speedup: 1.000034
%481, mode: 1, baseline: 494.363800, time: 491.762000, offp: 0.526293, speedup: 1.005291
%488, mode: 0, baseline: 494.363800, time: 493.963000, offp: 0.081074, speedup: 1.000811
%488, mode: 1, baseline: 494.363800, time: 486.325000, offp: 1.626090, speedup: 1.016530
%494, mode: 0, baseline: 494.363800, time: 494.485000, offp: -0.024516, speedup: 0.999755
%494, mode: 1, baseline: 494.363800, time: 485.756000, offp: 1.741187, speedup: 1.017720
%500, mode: 0, baseline: 494.363800, time: 494.270000, offp: 0.018974, speedup: 1.000190
%500, mode: 1, baseline: 494.363800, time: 485.875000, offp: 1.717116, speedup: 1.017471
%506, mode: 0, baseline: 494.363800, time: 494.191000, offp: 0.034954, speedup: 1.000350
%506, mode: 1, baseline: 494.363800, time: 485.838000, offp: 1.724600, speedup: 1.017549
%512, mode: 0, baseline: 494.363800, time: 494.283000, offp: 0.016344, speedup: 1.000163
%512, mode: 1, baseline: 494.363800, time: 485.960000, offp: 1.699922, speedup: 1.017293
%518, mode: 0, baseline: 494.363800, time: 494.286000, offp: 0.015737, speedup: 1.000157
%518, mode: 1, baseline: 494.363800, time: 485.915000, offp: 1.709025, speedup: 1.017387
%524, mode: 0, baseline: 494.363800, time: 493.991000, offp: 0.075410, speedup: 1.000755
%524, mode: 1, baseline: 494.363800, time: 485.652000, offp: 1.762224, speedup: 1.017938
%530, mode: 0, baseline: 494.363800, time: 494.097000, offp: 0.053968, speedup: 1.000540
%530, mode: 1, baseline: 494.363800, time: 485.926000, offp: 1.706800, speedup: 1.017364
%536, mode: 0, baseline: 494.363800, time: 494.157000, offp: 0.041832, speedup: 1.000418
%536, mode: 1, baseline: 494.363800, time: 486.054000, offp: 1.680908, speedup: 1.017096
%540, mode: 0, baseline: 494.363800, time: 494.320000, offp: 0.008860, speedup: 1.000089
%540, mode: 1, baseline: 494.363800, time: 485.588000, offp: 1.775170, speedup: 1.018073
%546, mode: 0, baseline: 494.363800, time: 494.466000, offp: -0.020673, speedup: 0.999793
%546, mode: 1, baseline: 494.363800, time: 485.519000, offp: 1.789128, speedup: 1.018217
%552, mode: 0, baseline: 494.363800, time: 493.980000, offp: 0.077635, speedup: 1.000777
%552, mode: 1, baseline: 494.363800, time: 485.684000, offp: 1.755752, speedup: 1.017871
%558, mode: 0, baseline: 494.363800, time: 494.311000, offp: 0.010680, speedup: 1.000107
%558, mode: 1, baseline: 494.363800, time: 485.795000, offp: 1.733298, speedup: 1.017639
%564, mode: 0, baseline: 494.363800, time: 493.854000, offp: 0.103122, speedup: 1.001032
%564, mode: 1, baseline: 494.363800, time: 485.727000, offp: 1.747053, speedup: 1.017781
%570, mode: 0, baseline: 494.363800, time: 494.406000, offp: -0.008536, speedup: 0.999915
%570, mode: 1, baseline: 494.363800, time: 485.702000, offp: 1.752110, speedup: 1.017834
%576, mode: 0, baseline: 494.363800, time: 494.157000, offp: 0.041832, speedup: 1.000418
%576, mode: 1, baseline: 494.363800, time: 485.811000, offp: 1.730062, speedup: 1.017605
%582, mode: 0, baseline: 494.363800, time: 493.990000, offp: 0.075612, speedup: 1.000757
%582, mode: 1, baseline: 494.363800, time: 485.935000, offp: 1.704979, speedup: 1.017346
%589, mode: 0, baseline: 494.363800, time: 493.927000, offp: 0.088356, speedup: 1.000884
%589, mode: 1, baseline: 494.363800, time: 489.186000, offp: 1.047366, speedup: 1.010585
%595, mode: 0, baseline: 494.363800, time: 494.031000, offp: 0.067319, speedup: 1.000674
%595, mode: 1, baseline: 494.363800, time: 489.073000, offp: 1.070224, speedup: 1.010818
